,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
379,10.0,7.0,6.0,5.0,5.0,7.0,7.0,9.0
380,7.0,6.0,5.0,5.0,7.0,7.0,9.0,14.0
381,6.0,5.0,5.0,7.0,7.0,9.0,14.0,23.0
382,5.0,5.0,7.0,7.0,9.0,14.0,23.0,29.0
383,5.0,7.0,7.0,9.0,14.0,23.0,29.0,39.0
384,7.0,7.0,9.0,14.0,23.0,29.0,39.0,42.0
385,7.0,9.0,14.0,23.0,29.0,39.0,42.0,45.0
386,9.0,14.0,23.0,29.0,39.0,42.0,45.0,46.0
387,14.0,23.0,29.0,39.0,42.0,45.0,46.0,50.0
388,23.0,29.0,39.0,42.0,45.0,46.0,50.0,50.0
389,29.0,39.0,42.0,45.0,46.0,50.0,50.0,101.0
390,97.0,83.0,81.0,93.0,91.0,98.0,91.0,100.0
391,83.0,81.0,93.0,91.0,98.0,91.0,100.0,101.0
392,92.0,75.0,75.0,79.0,77.0,77.0,73.0,71.0
393,75.0,75.0,79.0,77.0,77.0,73.0,71.0,73.0
394,75.0,79.0,77.0,77.0,73.0,71.0,73.0,76.0
395,79.0,77.0,77.0,73.0,71.0,73.0,76.0,81.0
396,77.0,77.0,73.0,71.0,73.0,76.0,81.0,86.0
397,77.0,73.0,71.0,73.0,76.0,81.0,86.0,87.0
398,73.0,71.0,73.0,76.0,81.0,86.0,87.0,93.0
399,71.0,73.0,76.0,81.0,86.0,87.0,93.0,101.0
400,88.0,58.0,73.0,75.0,78.0,76.0,74.0,82.0
401,58.0,73.0,75.0,78.0,76.0,74.0,82.0,75.0
402,73.0,75.0,78.0,76.0,74.0,82.0,75.0,82.0
