,diff_0,diff_1,diff_2,target
470,79.0,83.0,92.0,62.0
471,83.0,92.0,62.0,49.0
472,92.0,62.0,49.0,43.0
473,62.0,49.0,43.0,42.0
474,49.0,43.0,42.0,46.0
475,43.0,42.0,46.0,53.0
476,42.0,46.0,53.0,56.0
477,46.0,53.0,56.0,65.0
478,53.0,56.0,65.0,74.0
479,56.0,65.0,74.0,86.0
480,65.0,74.0,86.0,83.0
481,74.0,86.0,83.0,90.0
482,86.0,83.0,90.0,94.0
483,83.0,90.0,94.0,101.0
484,24.0,43.0,10.0,28.0
485,43.0,10.0,28.0,47.0
486,10.0,28.0,47.0,63.0
487,28.0,47.0,63.0,71.0
488,47.0,63.0,71.0,56.0
489,63.0,71.0,56.0,57.0
490,71.0,56.0,57.0,59.0
491,56.0,57.0,59.0,51.0
492,57.0,59.0,51.0,49.0
493,59.0,51.0,49.0,41.0
494,51.0,49.0,41.0,36.0
495,49.0,41.0,36.0,37.0
496,41.0,36.0,37.0,34.0
497,36.0,37.0,34.0,32.0
498,37.0,34.0,32.0,28.0
499,34.0,32.0,28.0,25.0
500,32.0,28.0,25.0,26.0
501,28.0,25.0,26.0,25.0
502,25.0,26.0,25.0,21.0
503,26.0,25.0,21.0,25.0
504,25.0,21.0,25.0,30.0
505,21.0,25.0,30.0,37.0
506,25.0,30.0,37.0,44.0
507,30.0,37.0,44.0,101.0
508,67.0,53.0,98.0,101.0
509,74.0,95.0,59.0,46.0
510,95.0,59.0,46.0,43.0
511,59.0,46.0,43.0,50.0
512,46.0,43.0,50.0,55.0
513,43.0,50.0,55.0,62.0
514,50.0,55.0,62.0,60.0
515,55.0,62.0,60.0,52.0
516,62.0,60.0,52.0,50.0
517,60.0,52.0,50.0,52.0
518,52.0,50.0,52.0,54.0
519,50.0,52.0,54.0,54.0
520,52.0,54.0,54.0,51.0
521,54.0,54.0,51.0,38.0
522,54.0,51.0,38.0,31.0
523,51.0,38.0,31.0,35.0
524,38.0,31.0,35.0,34.0
525,31.0,35.0,34.0,36.0
526,35.0,34.0,36.0,34.0
527,34.0,36.0,34.0,35.0
528,36.0,34.0,35.0,36.0
529,34.0,35.0,36.0,40.0
530,35.0,36.0,40.0,46.0
531,36.0,40.0,46.0,46.0
532,40.0,46.0,46.0,101.0
533,96.0,81.0,66.0,66.0
534,81.0,66.0,66.0,60.0
535,66.0,66.0,60.0,59.0
536,66.0,60.0,59.0,52.0
537,60.0,59.0,52.0,52.0
538,59.0,52.0,52.0,44.0
539,52.0,52.0,44.0,43.0
